bank,voice,name,ALG,FB,LFO_SPEED,LFO_DELAY,LFO_PMD,LFO_AMD,LFO_SYNC,LFO_WAVE,TRANSPOSE,PITCH_EG_R1,PITCH_EG_R2,PITCH_EG_R3,PITCH_EG_R4,PITCH_EG_L1,PITCH_EG_L2,PITCH_EG_L3,PITCH_EG_L4,OP1_AR,OP1_DR,OP1_SR,OP1_RR,OP1_SL,OP1_TL,OP1_KSL,OP1_MULTI,OP1_DT,OP1_RS,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_WS,OP2_AR,OP2_DR,OP2_SR,OP2_RR,OP2_SL,OP2_TL,OP2_KSL,OP2_MULTI,OP2_DT,OP2_RS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_WS,OP3_AR,OP3_DR,OP3_SR,OP3_RR,OP3_SL,OP3_TL,OP3_KSL,OP3_MULTI,OP3_DT,OP3_RS,OP3_AM,OP3_VIB,OP3_EGT,OP3_KSR,OP3_WS,OP4_AR,OP4_DR,OP4_SR,OP4_RR,OP4_SL,OP4_TL,OP4_KSL,OP4_MULTI,OP4_DT,OP4_RS,OP4_AM,OP4_VIB,OP4_EGT,OP4_KSR,OP4_WS,OP5_AR,OP5_DR,OP5_SR,OP5_RR,OP5_SL,OP5_TL,OP5_KSL,OP5_MULTI,OP5_DT,OP5_RS,OP5_AM,OP5_VIB,OP5_EGT,OP5_KSR,OP5_WS,OP6_AR,OP6_DR,OP6_SR,OP6_RR,OP6_SL,OP6_TL,OP6_KSL,OP6_MULTI,OP6_DT,OP6_RS,OP6_AM,OP6_VIB,OP6_EGT,OP6_KSR,OP6_WS
B,22,Plukatan,16,6,34,10,9,0,24,40,80,94,67,95,60,50,50,50,50,94,35,32,17,99,51,99,99,55,10,0,3,42,28,88,99,60,46,19,99,93,76,0,0,0,0,0,58,28,99,99,88,94,99,99,68,51,99,0,0,0,0,58,20,99,99,90,50,99,99,74,37,66,54,0,0,0,4,16,99,82,85,57,99,99,76,30,0,54,0,0,0,49,4,99,99,80,25,45,99,99,0,0,0,0,0,0,58,0,99
B,23,OctiLate,15,7,35,0,0,0,24,49,79,99,99,99,99,50,50,50,50,99,99,99,30,99,99,99,0,0,0,0,0,56,0,78,99,99,99,43,0,0,0,99,0,0,0,0,76,0,77,99,99,99,19,99,99,99,0,0,0,0,0,56,16,99,99,99,64,75,99,79,0,0,0,0,0,0,56,0,92,99,46,36,19,99,81,0,0,0,0,0,0,56,8,68,99,99,99,33,99,99,99,0,0,0,0,0,62,12,99
B,24,LateDown,15,6,32,0,0,0,24,49,76,99,99,99,99,48,53,50,45,99,99,99,30,99,99,99,0,0,0,0,0,56,0,77,99,99,99,38,0,0,0,99,0,0,0,0,76,0,85,99,99,99,19,99,99,99,0,0,0,0,0,56,16,39,99,99,24,75,99,79,0,0,0,0,0,0,56,0,92,99,61,36,19,99,81,0,0,0,0,0,0,56,8,68,40,0,21,33,99,99,0,0,0,0,0,0,62,12,99
B,25,Glastine,4,6,1,40,13,37,36,48,71,10,10,95,60,49,50,50,50,57,45,20,19,99,77,84,0,43,18,37,3,113,8,68,13,17,12,15,80,99,0,0,0,0,0,0,42,12,99,57,45,20,13,64,77,84,82,43,18,37,3,82,0,59,13,17,12,15,90,99,0,0,0,0,0,0,34,8,99,53,40,23,21,99,86,83,85,53,66,25,0,80,4,66,13,17,12,15,90,99,0,0,0,0,0,0,82,8,99
B,26,BellWahh,10,6,24,99,20,0,12,40,66,99,99,99,99,50,50,50,50,99,34,10,27,75,27,99,0,0,0,0,0,49,0,70,99,25,14,17,99,27,50,0,0,0,8,0,49,4,93,99,33,34,29,99,99,95,0,36,0,0,0,48,8,99,99,39,24,29,32,27,99,0,0,0,18,0,49,4,40,99,39,14,31,60,27,99,0,0,0,18,0,49,0,99,99,33,34,29,99,99,95,0,36,0,0,0,48,4,99
B,27,RubberGong,17,3,35,0,0,0,24,49,82,39,12,99,3,49,50,50,51,99,92,84,23,80,0,0,19,0,0,0,0,56,28,99,80,56,46,21,99,69,0,0,0,0,0,0,8,20,71,75,34,36,22,99,74,0,0,42,0,22,0,27,16,84,74,31,30,30,99,98,0,0,0,0,0,0,19,12,77,69,79,58,20,99,91,59,0,0,0,0,0,56,12,87,80,78,26,42,99,98,0,0,0,0,0,0,35,8,92
B,28,Wallop,15,11,22,0,46,0,24,16,87,99,99,99,99,50,50,50,50,39,82,23,28,90,87,99,0,39,0,20,0,59,12,80,37,50,68,12,99,94,97,0,46,0,27,0,115,8,88,94,28,18,14,99,97,0,99,46,0,0,0,7,20,53,94,28,30,17,99,99,0,0,46,0,0,0,117,20,90,71,25,16,25,90,79,92,0,46,0,0,0,106,8,81,60,28,24,28,99,97,80,0,46,0,0,0,42,12,99
B,29,Explosion,15,0,35,0,0,0,24,49,69,99,99,99,99,50,50,50,50,82,99,35,32,99,99,99,99,0,0,0,0,56,0,87,82,99,35,32,99,99,99,99,0,0,0,0,56,0,99,82,99,35,32,99,99,99,99,0,0,0,0,56,0,99,99,99,35,32,99,99,99,99,0,0,0,0,56,0,75,99,99,29,32,0,0,99,0,0,0,0,0,56,0,73,82,99,35,32,99,99,0,0,0,0,0,0,56,20,99
B,30,KoikeCycle,16,15,99,99,6,0,12,91,75,0,10,0,0,60,50,22,50,14,30,25,37,99,99,99,0,0,0,0,0,56,0,92,14,30,25,40,99,99,99,0,0,0,0,0,56,0,72,14,30,25,39,99,99,99,0,0,0,0,0,56,0,56,13,30,25,39,90,99,0,0,0,0,0,0,56,0,99,14,30,25,38,99,99,99,0,0,0,0,0,56,0,77,13,30,25,37,90,99,0,0,0,0,0,0,56,0,99
B,31,Thunderon,15,4,99,0,0,0,12,112,84,0,0,0,0,50,50,50,50,68,82,29,19,99,99,0,0,32,0,0,0,56,16,89,99,45,24,12,99,95,0,0,32,0,0,0,40,12,86,65,45,17,50,46,43,47,99,32,0,0,0,59,0,80,66,42,25,9,85,99,0,0,32,0,0,0,51,0,87,99,50,22,41,73,71,80,99,32,0,0,0,59,0,90,81,45,24,13,99,99,0,0,32,0,0,0,3,8,88
B,32,Science,15,8,35,0,0,0,0,49,83,99,99,21,99,50,50,0,99,99,46,54,99,99,96,0,0,57,99,0,0,58,28,99,99,44,34,54,99,95,0,0,0,0,28,0,115,0,99,94,57,33,54,99,95,0,0,0,0,0,0,115,0,86,99,38,27,53,99,95,0,0,0,0,0,0,83,0,78,57,35,30,53,99,95,0,0,0,0,12,0,35,0,99,37,35,32,53,99,95,0,0,0,0,0,0,43,0,99
