bank,voice,name,ALG,FB,LFO_SPEED,LFO_DELAY,LFO_PMD,LFO_AMD,LFO_SYNC,LFO_WAVE,TRANSPOSE,PITCH_EG_R1,PITCH_EG_R2,PITCH_EG_R3,PITCH_EG_R4,PITCH_EG_L1,PITCH_EG_L2,PITCH_EG_L3,PITCH_EG_L4,OP1_AR,OP1_DR,OP1_SR,OP1_RR,OP1_SL,OP1_TL,OP1_KSL,OP1_MULTI,OP1_DT,OP1_RS,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_WS,OP2_AR,OP2_DR,OP2_SR,OP2_RR,OP2_SL,OP2_TL,OP2_KSL,OP2_MULTI,OP2_DT,OP2_RS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_WS,OP3_AR,OP3_DR,OP3_SR,OP3_RR,OP3_SL,OP3_TL,OP3_KSL,OP3_MULTI,OP3_DT,OP3_RS,OP3_AM,OP3_VIB,OP3_EGT,OP3_KSR,OP3_WS,OP4_AR,OP4_DR,OP4_SR,OP4_RR,OP4_SL,OP4_TL,OP4_KSL,OP4_MULTI,OP4_DT,OP4_RS,OP4_AM,OP4_VIB,OP4_EGT,OP4_KSR,OP4_WS,OP5_AR,OP5_DR,OP5_SR,OP5_RR,OP5_SL,OP5_TL,OP5_KSL,OP5_MULTI,OP5_DT,OP5_RS,OP5_AM,OP5_VIB,OP5_EGT,OP5_KSR,OP5_WS,OP6_AR,OP6_DR,OP6_SR,OP6_RR,OP6_SL,OP6_TL,OP6_KSL,OP6_MULTI,OP6_DT,OP6_RS,OP6_AM,OP6_VIB,OP6_EGT,OP6_KSR,OP6_WS
B,43,NasalClav,14,7,30,0,0,0,12,57,78,51,49,75,60,65,50,50,50,99,42,20,99,99,87,0,99,39,12,3,3,62,12,65,99,50,6,99,99,97,0,99,36,0,2,0,60,8,84,89,53,26,99,99,96,0,69,44,6,15,0,61,8,85,95,66,26,50,99,99,0,0,43,0,0,10,62,16,97,89,17,84,64,99,89,0,0,27,0,2,2,60,0,79,99,57,33,64,99,94,0,0,37,0,0,2,60,20,97
B,44,HarpsiBox,8,12,35,0,0,0,24,16,72,99,99,99,99,50,50,50,50,95,72,71,99,99,97,91,97,64,0,55,0,63,4,87,95,28,27,99,99,90,0,95,49,0,0,0,51,12,72,95,72,71,80,99,94,90,93,64,0,46,0,58,0,97,99,28,27,50,99,90,0,0,49,0,0,0,51,12,97,99,56,0,99,99,0,0,0,49,0,0,0,60,8,96,99,50,0,53,99,0,0,0,49,0,0,0,60,8,94
B,45,HarpsiWire,1,15,35,0,0,0,24,17,72,39,99,99,99,50,50,50,50,99,63,30,90,99,60,0,83,46,10,53,15,52,0,91,85,36,30,90,99,85,0,99,46,6,54,3,67,4,80,86,30,25,70,99,85,0,90,0,0,0,0,58,4,84,95,49,32,50,99,85,0,0,27,20,6,3,83,12,99,99,55,25,70,99,90,0,99,0,0,0,0,65,4,84,90,36,20,48,99,80,0,0,27,20,6,3,51,16,99
B,46,WireStrg A,8,13,14,25,0,0,24,57,87,99,99,99,99,50,50,50,50,95,75,28,80,94,79,0,69,60,0,0,1,64,0,99,99,63,42,64,99,90,0,99,52,0,35,0,89,8,81,99,26,14,99,99,90,0,99,0,0,0,0,27,20,99,99,29,0,51,99,0,0,0,0,0,0,0,4,28,99,99,25,11,43,99,0,0,0,52,0,40,3,44,8,93,99,25,0,37,99,0,0,0,0,0,0,0,108,16,99
B,47,WireStrg B,8,14,7,25,0,0,24,57,87,99,99,99,99,50,50,50,50,95,75,28,80,94,79,0,69,60,0,0,1,64,0,99,99,63,42,64,99,90,0,99,52,0,35,0,92,8,81,99,26,14,99,99,90,0,99,0,0,0,0,29,20,85,99,29,0,51,99,0,0,0,0,0,0,0,5,16,99,86,88,80,60,0,99,94,96,52,0,0,3,43,4,90,99,29,19,52,99,72,0,0,0,0,0,0,70,8,99
B,48,TouchOrgan,5,13,9,0,7,0,24,49,84,99,99,99,99,50,50,50,50,99,99,50,99,99,90,0,0,39,99,0,0,56,28,95,99,90,50,99,99,90,0,0,39,99,0,0,56,28,99,99,99,99,99,99,95,95,0,0,0,20,4,0,8,95,99,99,99,99,99,95,95,0,0,0,0,0,0,0,99,99,99,99,99,99,95,95,0,0,0,20,4,0,8,90,99,99,99,99,99,95,95,0,0,0,0,0,112,0,99
B,49,ShOrgan,2,0,41,0,0,0,24,17,83,99,99,99,99,50,50,50,50,66,75,49,71,51,90,78,0,43,10,8,0,58,8,67,50,57,47,71,70,99,94,0,39,0,10,0,59,12,95,54,60,25,71,70,99,88,0,0,0,0,0,58,8,99,54,75,25,71,51,83,78,0,43,18,1,0,58,8,55,55,61,42,71,70,99,98,0,39,0,10,0,40,12,91,59,63,28,66,70,99,95,0,0,0,0,0,57,8,99
B,50,TapOrgan,15,2,1,0,4,0,24,24,84,99,99,99,99,50,50,50,50,99,84,74,53,90,0,54,0,0,0,0,0,56,8,96,90,90,90,70,99,99,99,0,42,25,0,3,9,12,69,80,70,39,70,99,64,0,0,36,60,15,0,62,24,77,90,90,90,70,99,0,99,0,42,25,0,3,49,4,75,90,90,90,70,99,0,99,0,42,25,0,3,1,4,75,69,99,99,80,99,99,99,0,0,0,0,0,58,16,99
B,51,BriteOrgan,24,8,35,0,2,0,24,49,66,99,99,99,99,50,50,50,50,99,99,99,99,82,80,80,0,0,0,0,0,56,0,99,99,99,99,99,99,99,99,0,0,0,0,0,56,0,99,99,99,99,99,99,99,99,0,0,0,0,0,56,0,99,99,99,99,99,93,89,89,0,0,0,0,0,112,28,99,99,99,99,99,99,95,95,0,0,0,0,0,0,28,90,99,99,99,99,99,95,95,0,0,0,0,0,56,28,99
B,52,MagicOrgan,4,4,35,0,0,0,12,49,77,99,99,99,99,50,50,50,50,99,99,86,78,99,99,91,0,39,0,0,0,56,20,93,68,87,86,84,55,99,91,0,39,0,0,0,56,8,99,99,99,99,80,99,99,99,0,39,0,0,0,56,12,85,85,99,99,80,99,99,99,0,39,0,0,0,56,8,99,99,99,99,81,99,99,99,0,39,0,0,0,56,8,87,85,99,99,80,99,99,99,0,39,0,0,0,56,4,99
B,53,SoftOrgan,31,9,24,0,0,0,12,49,83,99,99,99,99,50,50,50,50,70,90,60,99,80,99,70,0,36,0,20,0,56,12,75,70,90,40,99,80,99,75,0,27,0,21,0,56,12,83,70,90,35,99,80,99,85,0,39,0,0,0,32,8,85,70,90,35,99,80,99,90,0,39,0,0,0,72,8,90,70,90,25,99,80,99,97,0,39,0,0,0,80,4,99,70,90,20,99,80,99,95,0,39,0,0,0,32,4,99
B,54,PipeOrgan,4,8,29,0,0,0,24,33,80,99,99,99,99,50,50,50,50,99,99,69,99,99,99,83,0,28,46,24,15,72,8,84,67,99,99,68,99,99,99,0,0,0,0,0,96,8,95,99,99,74,99,99,99,68,0,57,99,0,10,48,8,96,67,64,99,68,71,99,99,0,0,0,0,0,0,8,99,99,99,74,99,99,99,90,0,50,99,60,3,56,8,80,67,99,99,68,99,99,99,0,0,0,0,0,56,8,13
B,55,PuffOrgan1,11,7,29,0,0,0,12,33,80,54,99,99,99,50,50,50,50,70,99,99,59,99,99,99,0,44,22,0,3,49,8,69,62,59,78,99,99,71,65,0,41,0,0,3,8,4,62,70,99,99,59,99,99,99,0,46,20,10,3,25,4,89,57,65,99,75,73,99,99,0,0,0,0,0,24,8,99,64,81,99,70,71,99,96,0,0,0,0,0,48,8,77,64,72,64,75,67,99,99,0,0,0,0,0,16,8,99
B,56,PuffPipes,11,7,35,0,0,0,24,33,80,54,99,99,99,50,50,50,48,61,99,57,60,99,99,50,0,45,34,0,0,17,8,39,82,60,99,99,99,0,0,0,41,96,0,3,75,16,97,70,99,99,59,99,99,99,0,44,36,0,3,49,24,73,64,99,99,75,99,99,99,0,0,0,0,0,56,8,99,66,60,47,99,99,99,99,0,0,0,0,0,112,0,99,71,52,39,99,99,81,0,0,0,0,0,0,58,20,93
B,57,PuffOrgan2,5,0,30,0,0,0,12,49,80,54,99,99,99,50,50,50,50,70,99,99,59,99,99,99,99,50,30,39,0,57,20,97,60,99,99,55,99,99,99,0,46,12,3,3,49,12,78,70,99,99,49,99,99,99,96,46,20,13,3,25,24,83,57,65,99,51,73,99,99,0,0,0,3,0,25,12,99,64,81,99,51,71,99,96,72,39,0,21,0,48,24,99,60,62,64,53,67,99,99,0,0,0,0,0,88,8,96
B,58,Harmonium1,27,0,35,0,0,0,24,33,72,99,99,99,99,50,50,50,50,40,50,99,80,50,99,99,0,46,99,4,0,57,0,95,99,99,99,82,99,99,99,89,39,19,99,0,57,0,84,50,50,99,75,50,99,99,0,45,0,54,0,57,0,72,40,50,99,75,50,99,99,0,37,0,99,0,65,0,99,50,50,99,75,50,99,99,0,43,99,5,0,57,0,60,40,50,99,75,50,99,99,0,48,99,6,0,57,0,95
B,59,Harmonium2,27,0,35,0,0,0,24,33,72,99,99,99,99,50,50,50,50,40,50,99,80,50,99,99,0,46,99,4,0,57,0,95,99,99,99,82,99,99,99,89,39,19,99,0,57,0,82,50,50,99,75,50,99,99,0,46,0,54,0,57,0,67,50,50,99,75,50,99,99,0,37,0,99,0,65,0,93,50,50,99,75,50,99,99,0,43,99,5,0,57,0,75,40,50,99,75,50,99,99,0,48,99,6,0,57,0,95
B,60,Whisper  A,15,7,44,20,18,0,24,24,87,98,99,98,98,10,50,50,50,53,64,32,11,70,89,90,0,39,0,6,0,6,3,74,90,88,35,13,97,92,84,0,70,9,0,0,51,0,79,96,50,32,11,91,94,95,0,0,0,0,0,81,0,74,38,45,35,15,94,97,99,0,68,12,0,0,1,0,72,98,60,67,13,82,85,90,0,29,2,12,0,59,9,87,30,25,25,35,84,89,99,0,0,0,0,0,58,0,91
B,61,Choir,3,0,35,53,23,0,12,32,67,84,46,99,99,48,50,50,50,99,99,17,53,99,99,97,0,99,16,0,0,59,6,67,50,32,22,22,82,99,99,0,0,0,9,0,41,9,77,44,45,34,47,85,95,97,0,0,0,0,0,10,8,99,71,58,22,76,61,70,86,0,46,0,0,0,57,8,40,42,34,41,74,85,88,99,34,0,0,15,0,18,10,99,53,33,34,60,99,99,95,0,36,0,44,0,32,16,99
B,62,LadyVox,25,7,41,25,13,0,24,64,76,50,46,99,22,34,50,50,47,44,99,30,35,99,99,89,0,40,52,13,0,56,13,66,48,49,53,52,29,61,69,0,0,0,0,0,57,9,54,44,48,58,60,51,74,99,0,48,35,0,0,58,5,99,38,46,91,54,99,99,99,0,0,0,0,0,56,21,57,44,57,52,61,72,85,57,0,0,0,0,0,56,5,99,47,99,99,64,99,99,99,0,0,0,0,0,56,9,99
B,63,MaleChoir,27,9,39,17,11,0,12,32,77,99,99,99,99,50,50,51,50,51,44,37,55,57,92,99,0,22,0,57,2,1,20,97,38,68,80,53,29,61,83,0,45,0,49,0,1,12,49,55,58,70,58,51,74,99,0,24,0,22,0,49,7,81,51,44,37,51,57,92,99,0,49,0,18,0,34,4,99,62,66,24,83,92,92,93,0,72,10,0,0,33,3,92,51,44,37,55,57,92,99,0,29,0,85,0,1,15,99
B,64,Whisper  B,4,7,99,0,21,99,24,36,87,84,32,84,60,51,48,50,50,84,27,10,14,99,99,99,0,52,0,0,3,32,7,97,37,56,10,34,97,90,90,0,52,20,4,0,32,8,62,84,36,10,34,99,99,99,0,38,7,0,3,8,8,82,35,15,10,37,99,99,99,0,36,31,0,0,56,8,99,44,36,10,34,99,99,99,0,38,3,0,3,112,8,82,42,35,10,29,99,99,99,0,36,31,0,0,56,8,99
